GTIN,Manufacturer Name,Brand,Volume,Volume Code,namePublicLong,namePublicShort,functionalName,typePackaging,useableUnits,ratioAlcohol,packagingInformationList,countryOfOriginList,kind,varietalDesignationList,productbenefits,vineyardRegion,vintage
00033293116103,Freixenet Mionetto USA,GF A/O Still,750.0,mL,Gloria Ferrer Etesian Pinot Noir  2017 750 ml Bottle,Gloria Ferrer Etesian Pinot Noir  2017,,EACH,1,14.5,,USA,"Wine, champagne & sparkling wine",,,,
00033293112006,Freixenet Mionetto USA,GF Classic,750.0,mL,Gloria Ferrer Royal Cuvee  2014 750 ml Bottle,Gloria Ferrer Royal Cuvee  2014,,EACH,1,12.0,,USA,"Wine, champagne & sparkling wine",,,,
00816253010860,Freixenet Mionetto USA,Mionetto - Luxury,750.0,mL,Mionetto Luxury Prosecco Cartizze 750 ml Bottle,Mionetto Luxury Prosecco Cartizze,,EACH,1,11.0,,USA,"Wine, champagne & sparkling wine",,,,
00033293006022,Freixenet Mionetto USA,FX Blanc de Blancs,187.0,mL,Freixenet Brut Blanc De Blancs 187 ml Bottle,Freixenet Brut Blanc De Blancs,,EACH,1,11.5,,USA,"Wine, champagne & sparkling wine",,,,
00816253012482,Freixenet Mionetto USA,FX Italian Still,750.0,mL,Freixenet Italian Rosé 750 ml Bottle,Freixenet Italian Rosé,,EACH,1,11.5,,USA,"Wine, champagne & sparkling wine",,,,
00816253012505,Freixenet Mionetto USA,FX Italian Still,750.0,mL,Freixenet Pinot Grigio 750 ml Bottle,Freixenet Pinot Grigio,,EACH,1,11.5,,USA,"Wine, champagne & sparkling wine",,,,
00033293003120,Freixenet Mionetto USA,FX Cordon Negro,187.0,mL,Freixenet Cordon Negro Brut Cava 3 Pack (187 ml Bottles),Freixenet Cordon Negro Brut Cava,,EACH,3,11.0,,USA,"Wine, champagne & sparkling wine",,,,
00033293118206,Freixenet Mionetto USA,GF Classic,375.0,mL,Gloria Ferrer Blanc De Noirs Rose 375 ml Bottle,Gloria Ferrer Blanc De Noirs Rose,,EACH,1,12.5,,USA,"Wine, champagne & sparkling wine",,,,
00033293681014,Freixenet Mionetto USA,SV Gran Cuvee,750.0,mL,Segura Viudas Gran Cuvee 750 ml Bottle,Segura Viudas Gran Cuvee,,EACH,1,12.0,,USA,"Wine, champagne & sparkling wine",,,,
00033293003403,Freixenet Mionetto USA,FX Cordon Negro,1500.0,mL,Freixenet Cordon Negro Brut 1500 ml Bottle,Freixenet Cordon Negro Brut,,EACH,1,11.5,,USA,"Wine, champagne & sparkling wine",,,,
00033293640004,Freixenet Mionetto USA,SV Brut Reserva,750.0,mL,Segura Viudas Brut Rosé Reserva 750 ml Bottle,Segura Viudas Brut Rosé Reserva,,EACH,1,12.0,,USA,"Wine, champagne & sparkling wine",,,,
00727760501980,Freixenet Mionetto USA,Mionetto - Prestige,1500.0,mL,Mionetto Prestige Prosecco Brut 1500 ml Bottle,Mionetto Prestige Prosecco Brut,,EACH,1,11.0,,USA,"Wine, champagne & sparkling wine",,,,
00816253012161,Freixenet Mionetto USA,FX Italian Sparkling,187.0,mL,Freixenet Prosecco 187 ml Bottle,Freixenet Prosecco,,EACH,1,11.5,,USA,"Wine, champagne & sparkling wine",,,,
00033293660002,Freixenet Mionetto USA,SV Aria,750.0,mL,Segura Viudas Aria Estate Brut 750 ml Bottle,Segura Viudas Aria Estate Brut,,EACH,1,12.0,,USA,"Wine, champagne & sparkling wine",,,,
00033293005513,Freixenet Mionetto USA,FX Carta Nevada,187.0,mL,Freixenet Carta Nevada Semi Dry 187 ml Bottle,Freixenet Carta Nevada Semi Dry,,EACH,1,11.5,,USA,"Wine, champagne & sparkling wine",,,,
00033293655008,Freixenet Mionetto USA,SV Heredad,1500.0,mL,Segura Viudas Reserva Heredad 1500 ml Bottle,Segura Viudas Reserva Heredad,,EACH,1,12.0,,USA,"Wine, champagne & sparkling wine",,,,
00033293003007,Freixenet Mionetto USA,FX Cordon Negro,750.0,mL,Freixenet Cordon Negro Brut 750 ml Bottle,Freixenet Cordon Negro Brut,,EACH,1,11.0,,USA,"Wine, champagne & sparkling wine",,,,
00033293003205,Freixenet Mionetto USA,FX Cordon Negro,375.0,mL,Freixenet Cordon Negro Brut 375 ml Bottle,Freixenet Cordon Negro Brut,,EACH,1,11.0,,USA,"Wine, champagne & sparkling wine",,,,
00033293111009,Freixenet Mionetto USA,GF Classic,750.0,mL,Gloria Ferrer Sonoma Brut 750 ml Bottle,Gloria Ferrer Sonoma Brut,,EACH,1,12.5,,USA,"Wine, champagne & sparkling wine",,,,
00089419815696,,Climens,750.0,mL,Château Climens Premier Cru Barsac,"Château Climens, Climens 1Er Cru Barsac 2022, 750 mL, 6 Bottles Per Case",Wine,EACH,1,12.0,,USA,"Wine, champagne & sparkling wine",Sémillon,,Bordeaux,2022.0
00089419635133,,Climens,375.0,mL,Château Climens Premier Cru Barsac,"Château Climens, Climens 1Er Cru Barsac 2014, 375 mL, 12 Bottles Per Case",Wine,EACH,1,14.0,,USA,"Wine, champagne & sparkling wine",Sémillon,,Bordeaux,2014.0
00089419197143,,Fred Loimer,1.5,L,Loimer Ried Steinmassl Riesling Kamptal 1ÖTW,"Weingut Loimer, Ried Steinmassl Riesling Kamptal 1Ötw 2016, 1.5 L, 3 Bottles Per Case",Wine,EACH,1,12.5,,USA,"Wine, champagne & sparkling wine",Riesling,,,2016.0
00089419571318,,Fred Loimer,1.5,L,Loimer Ried Käferberg Grüner Veltliner Kamptal 1ÖTW,"Weingut Loimer, Ried Käferberg Grüner Veltliner Kamptal 1Ötw 2021, 1.5 L, 3 Bottles Per Case",Wine,EACH,1,13.5,,USA,"Wine, champagne & sparkling wine",,,,2021.0
00089419353242,,Fred Loimer,1.5,L,Loimer Ried Heiligenstein Riesling Kamptal 1ÖTW,"Weingut Loimer, Ried Heiligenstein Riesling Kamptal 1Ötw 2021, 1.5 L, 3 Bottles Per Case",Wine,EACH,1,13.5,,USA,"Wine, champagne & sparkling wine",Riesling,,,2021.0
00089419239188,,Climens,375.0,mL,Château Climens Cyprès de Climens,"Château Climens, Cyprès De Climens Barsac 2015, 375 mL, 12 Bottles Per Case",Wine,EACH,1,14.0,,USA,"Wine, champagne & sparkling wine",Sémillon,,Bordeaux,2015.0
00089419869613,,Climens,750.0,mL,Château Climens Cyprès de Climens,"Château Climens, Cyprès De Climens Barsac 2016, 750 mL, 6 Bottles Per Case",Wine,EACH,1,13.5,,USA,"Wine, champagne & sparkling wine",Sémillon,,Bordeaux,2016.0
00089419373226,,Fred Loimer,1.5,L,Loimer Ried Seeberg Riesling Kamptal 1ÖTW,"Weingut Loimer, Ried Seeberg Riesling Kamptal 1Ötw 2017, 1.5 L, 3 Bottles Per Case",Wine,EACH,1,12.5,,USA,"Wine, champagne & sparkling wine",Riesling,,,2017.0
00089419886139,,Climens,750.0,mL,Château Climens Lilium,"Château Climens, Lilium Bordeaux Blanc Sec 2022, 750 mL, 6 Bottles Per Case",Wine,EACH,1,13.2,,USA,"Wine, champagne & sparkling wine",Sémillon,,Bordeaux,2022.0
00603110950038,Jackson Family Wines,WillaKenzie Estate,750.0,mL,"WillaKenzie Estate Willamette Valley Pinot Noir Red Wine, 750ml",21 WK PN WILLAMETTE 6/7 750ml,Red Wine,EACH,1,14.2,,USA,"Wine, champagne & sparkling wine",Pinot Noir,Willamette Valley,,2021.0
00633072815670,Jackson Family Wines,Hartford,750.0,mL,"Hartford Outer Limits Syrah Red Wine, 750ml",17 HC SYRAH OUTER LIMITS 12/7 750ml,Red Wine,EACH,1,15.4,,USA,"Wine, champagne & sparkling wine",Syrah,,,2017.0
00869013000038,Jackson Family Wines,Hickinbotham Clarendon Vineyard,750.0,mL,"Hickinbotham Clarendon Vineyard Brooks Road Shiraz Red Wine, 750ml",19 HCV SHIRAZ 6/7 750ml,Red Wine,EACH,1,14.5,,USA,"Wine, champagne & sparkling wine",Shiraz,McLaren Vale,,2019.0
00784794612938,Jackson Family Wines,Maggy Hawk,750.0,mL,"Maggy Hawk Stormin' Pinot Noir Red Wine, 750ml",20 MGY PN STORMIN' 6/7 750ml,Red Wine,EACH,1,13.8,,USA,"Wine, champagne & sparkling wine",Pinot Noir,Anderson Valley,,2020.0
00633072815007,Jackson Family Wines,Hartford,750.0,mL,"Hartford Court Land's Edge Vineyards Pinot Noir Red Wine, 750ml",21 HC PN LANDS EDGE SCST 12/7 750ml,Red Wine,EACH,1,14.5,,USA,"Wine, champagne & sparkling wine",Pinot Noir,Sonoma Coast,,2021.0
00633072815281,Jackson Family Wines,Hartford,750.0,mL,"Hartford Court Russian River Valley Chardonnay White Wine, 750ml",22 HC CH RUSSIAN RIVER 12/7 750ml,White Wine,EACH,1,14.5,,USA,"Wine, champagne & sparkling wine",Chardonnay,Russian River Valley,,2022.0
00049331023128,Jackson Family Wines,La Crema,750.0,mL,"La Crema SeaLift Pinot Noir Red Wine, 750ml",21 LC PN SEALIFT 6/7 750ml,Red Wine,EACH,1,14.7,,USA,"Wine, champagne & sparkling wine",Pinot Noir,Sonoma Coast,,2021.0
00049331002314,Jackson Family Wines,La Crema,750.0,mL,"La Crema Russian River Valley Pinot Noir Red Wine, 750ml",21 LC PN RUSSIAN RIVER VLY 6/7 750ml,Red Wine,EACH,1,13.5,,USA,"Wine, champagne & sparkling wine",Pinot Noir,Russian River Valley,,2021.0
00877591002917,Jackson Family Wines,Siduri,750.0,mL,"Siduri Sta. Rita Hills Pinot Noir Red Wine, 750ml",20 SDI PN STA. RITA HILLS 12/7 750ml,Red Wine,EACH,1,14.6,,USA,"Wine, champagne & sparkling wine",Pinot Noir,Sta. Rita Hills,,2020.0
00009385202801,Jackson Family Wines,Arrowood,750.0,mL,"Arrowood Knights Valley Cabernet Sauvignon Red Wine, 750ml",19 AWD CS KNIGHTS VALLEY 12/7 750ml,Red Wine,EACH,1,14.6,,USA,"Wine, champagne & sparkling wine",Cabernet Sauvignon,Knights Valley,,2019.0
00049331023227,Jackson Family Wines,La Crema,750.0,mL,"La Crema Kelli Ann Vineyard Chardonnay White Wine, 750ml",21 LC CHARD KELLI ANN 6/7 750ml,White Wine,EACH,1,14.2,,USA,"Wine, champagne & sparkling wine",Chardonnay,Russian River Valley,,2021.0
00049331927136,Jackson Family Wines,La Crema,750.0,mL,"La Crema Fog Veil Pinot Noir Red Wine, 750ml",21 LC PINOT NOIR FOG VEIL 6/7 750ml,Red Wine,EACH,1,14.7,,USA,"Wine, champagne & sparkling wine",Pinot Noir,Russian River Valley,,2021.0
00862442000020,Jackson Family Wines,Gran Moraine,750.0,mL,"Gran Moraine Yamhill-Carlton Chardonnay White Wine, 750ml",20 GM CH YAMHILL 6/7 750ml,White Wine,EACH,1,12.7,,USA,"Wine, champagne & sparkling wine",Chardonnay,Yamhill-Carlton,,2020.0
00081584003199,Jackson Family Wines,Kendall-Jackson,750.0,mL,"Kendall-Jackson Outland Ridge Pinot Noir Red Wine, 750ml",21 KJ JEV PN OUTLAND RIDGE 6/7 750ml,Red Wine,EACH,1,14.5,,USA,"Wine, champagne & sparkling wine",Pinot Noir,Anderson Valley,,2021.0
00850202002247,Jackson Family Wines,Tenuta di Arceno,750.0,mL,"Tenuta di Arceno il fauno Toscana IGT Red Blend Red Wine, 750ml",20 IL FAUNO DI ARCANUM 12/7 750ml,Red Wine,EACH,1,14.5,,USA,"Wine, champagne & sparkling wine",,Toscana IGT,Tuscany,2020.0
00633072332580,Jackson Family Wines,Hartford,750.0,mL,"Hartford Court Seascape Vineyard Pinot Noir Red Wine, 750ml",21 HC PINOT NOIR SEASCAPE 6/7 750ml,Red Wine,EACH,1,13.8,,USA,"Wine, champagne & sparkling wine",Pinot Noir,Sonoma Coast,,2021.0
00633072332757,Jackson Family Wines,Hartford,750.0,mL,"Hartford Court Far Coast Vineyard Chardonnay White Wine, 750ml",21 HC CH FAR COAST 6/7 750ml,White Wine,EACH,1,14.8,,USA,"Wine, champagne & sparkling wine",Chardonnay,Sonoma County,,2021.0
00857187002118,Jackson Family Wines,Penner-Ash Wine Cellars,750.0,mL,"Penner-Ash Wine Cellars Estate Vineyard Pinot Noir Red Wine, 750ml",21 PAW PN ESTATE VYD 6/7 750ml,Red Wine,EACH,1,14.4,,USA,"Wine, champagne & sparkling wine",Pinot Noir,Yamhill-Carlton,,2021.0
00049331927143,Jackson Family Wines,La Crema,750.0,mL,"La Crema Saralee's Vineyard Chardonnay White Wine, 750ml",21 LC CHARDONNAY SARALEE 6/7 750ml,White Wine,EACH,1,13.5,,USA,"Wine, champagne & sparkling wine",Chardonnay,Russian River Valley,,2021.0
00851392007890,Jackson Family Wines,Copain Wines,750.0,mL,"Copain Wines Sonoma Coast Pinot Noir Red Wine, 750ml",20 CPW PN SONOMA COAST 12/7 750ml,Red Wine,EACH,1,13.0,,USA,"Wine, champagne & sparkling wine",Pinot Noir,Sonoma Coast,,2020.0
00081584013266,Jackson Family Wines,Kendall-Jackson,750.0,mL,"Kendall-Jackson Santa Maria Valley Chardonnay White Wine, 750ml",21 KJ JEA CH SANTA MARIA 6/7 750ml,White Wine,EACH,1,15.0,,USA,"Wine, champagne & sparkling wine",Chardonnay,Santa Maria Valley,,2021.0
00728759132109,Jackson Family Wines,Matanzas Creek,750.0,mL,"Matanzas Creek Alexander Valley Merlot Red Wine, 750ml",21 MZ ME ALEXANDER VLY 12/7 750ml,Red Wine,EACH,1,14.4,,USA,"Wine, champagne & sparkling wine",Merlot,Alexander Valley,,2021.0
00015917200818,Jackson Family Wines,Freemark Abbey Winery,750.0,mL,"Freemark Abbey Winery Napa Valley Sauvignon Blanc White Wine, 750ml",22 FMA SAUV BLANC NAPA 12/7 750ml,White Wine,EACH,1,14.1,,USA,"Wine, champagne & sparkling wine",Sauvignon Blanc,Napa Valley,,2022.0
00867043000127,Jackson Family Wines,Capensis,750.0,mL,"Capensis Silene Chardonnay White Wine, 750ml",20 CPN CH SILENE 6/7 750ml,White Wine,EACH,1,14.0,,USA,"Wine, champagne & sparkling wine",Chardonnay,Stellenbosch,Western Cape,2020.0
00633072815021,Jackson Family Wines,Hartford,750.0,mL,"Hartford Russian River Valley Zinfandel Red Wine, 750ml",21 HB ZIN RUSSIAN RVR 12/7 750ml,Red Wine,EACH,1,15.5,,USA,"Wine, champagne & sparkling wine",,Russian River Valley,,2021.0
00858334007529,Jackson Family Wines,Diatom,750.0,mL,"Diatom Santa Barbara County Chardonnay White Wine, 750ml",22 DIA CH SBC 12/7 750ml,White Wine,EACH,1,14.5,,USA,"Wine, champagne & sparkling wine",Chardonnay,Santa Barbara County,,2022.0
00784798320068,Jackson Family Wines,Vérité,750.0,mL,"Vérité Le Desir Sonoma County Red Blend Red Wine, 750ml",19 VER LE DESIR 3/7 WD 750ml,Red Wine,EACH,1,14.1,,USA,"Wine, champagne & sparkling wine",,Sonoma County,,2019.0
00633072332542,Jackson Family Wines,Hartford,750.0,mL,"Hartford Court Velvet Sisters Vineyard Pinot Noir Red Wine, 750ml",19 HC PN VELVET SISTERS 6/7 750ml,Red Wine,EACH,1,14.9,,USA,"Wine, champagne & sparkling wine",Pinot Noir,Russian River Valley,,2019.0
00603110970074,Jackson Family Wines,WillaKenzie Estate,750.0,mL,"WillaKenzie Estate Estate Cuvée Pinot Noir Red Wine, 750ml",21 WK PN ESTATE 6/7 750ml,Red Wine,EACH,1,14.2,,USA,"Wine, champagne & sparkling wine",Pinot Noir,Yamhill-Carlton,,2021.0
00768033001011,Jackson Family Wines,Edmeades,750.0,mL,"Edmeades Mendocino County Zinfandel Red Wine, 750ml",21 EM ZINFANDEL MENDO 12/7 750ml,Red Wine,EACH,1,15.0,,USA,"Wine, champagne & sparkling wine",,Mendocino County,,2021.0
00784794001909,Jackson Family Wines,Maggy Hawk,750.0,mL,"Maggy Hawk Anderson Valley White Pinot Noir White Wine, 750ml",20 MGY WHITE PINOT NOIR 6/7 750ml,Red Wine,EACH,1,13.5,,USA,"Wine, champagne & sparkling wine",,Anderson Valley,,2020.0
00633072815489,Jackson Family Wines,Hartford,750.0,mL,"Hartford Court Warrior Princess Pinot Noir Red Wine, 750ml",19 HC PN WARRIOR PRINCESS 6/7 750ml,Red Wine,EACH,1,14.1,,USA,"Wine, champagne & sparkling wine",Pinot Noir,Russian River Valley,,2019.0
00728759212108,Jackson Family Wines,Matanzas Creek,750.0,mL,"Matanzas Creek Alexander Valley Chardonnay White Wine, 750ml",20 MZ CH ALEXANDER VLY 12/7 750ml,White Wine,EACH,1,14.2,,USA,"Wine, champagne & sparkling wine",Chardonnay,Alexander Valley,,2020.0
00633072815298,Jackson Family Wines,Hartford,750.0,mL,"Hartford Court Russian River Valley Pinot Noir Red Wine, 750ml",21 HC PN RUSSIAN RIVER 12/7 750ml,Red Wine,EACH,1,14.5,,USA,"Wine, champagne & sparkling wine",Pinot Noir,Russian River Valley,,2021.0
00737038001685,Jackson Family Wines,Stonestreet Estate Vineyards,750.0,mL,"Stonestreet Estate Vineyards Chardonnay White Wine, 750ml",19 ST CHARD ESTATE CUVEE 6/7 750ml,White Wine,EACH,1,14.2,,USA,"Wine, champagne & sparkling wine",Chardonnay,Alexander Valley,,2019.0
00850202002254,Jackson Family Wines,Tenuta di Arceno,750.0,mL,"Tenuta di Arceno Valadorna Toscana IGT Red Blend Red Wine, 750ml",17 VALADORNA 6/7 750ml,Red Wine,EACH,1,15.0,,USA,"Wine, champagne & sparkling wine",,Toscana IGT,Tuscany,2017.0
00633072332627,Jackson Family Wines,Hartford,750.0,mL,"Hartford Court Far Coast Vineyard Pinot Noir Red Wine, 750ml",21 HC PINOT NOIR FAR COAST 6/7 750ml,Red Wine,EACH,1,15.1,,USA,"Wine, champagne & sparkling wine",Pinot Noir,Sonoma County,,2021.0
00784794612952,Jackson Family Wines,Maggy Hawk,750.0,mL,"Maggy Hawk Jolie Pinot Noir Red Wine, 750ml",20 MGY PN JOLIE 6/7 750ml,Red Wine,EACH,1,13.5,,USA,"Wine, champagne & sparkling wine",Pinot Noir,Anderson Valley,,2020.0
00603110970081,Jackson Family Wines,WillaKenzie Estate,750.0,mL,"WillaKenzie Estate Willamette Valley Chardonnay White Wine, 750ml",21 WK CHARD WILLAMETTE 6/7 750ml,White Wine,EACH,1,13.5,,USA,"Wine, champagne & sparkling wine",Chardonnay,Willamette Valley,,2021.0
00083722930138,Jackson Family Wines,Murphy-Goode,750.0,mL,"Murphy-Goode Liar's Dice Zinfandel Red Wine, 750ml",20 MGW ZIN LIARS DICE 12/7 750ml,Red Wine,EACH,1,15.0,,USA,"Wine, champagne & sparkling wine",,Sonoma County,,2020.0
00081584012399,Jackson Family Wines,Kendall-Jackson,750.0,mL,"Kendall-Jackson Grand Reserve Pinot Noir Red Wine, 750ml",21 KJ GR PINOT NOIR 12/7 750ml,Red Wine,EACH,1,14.5,,USA,"Wine, champagne & sparkling wine",Pinot Noir,Anderson Valley,,2021.0
00851392007876,Jackson Family Wines,Copain Wines,750.0,mL,"Copain Wines Sonoma Coast Chardonnay White Wine, 750ml",20 CPW CH SONOMA COAST 12/7 750ml,White Wine,EACH,1,13.3,,USA,"Wine, champagne & sparkling wine",Chardonnay,Sonoma Coast,,2020.0
00633072815373,Jackson Family Wines,Hartford,375.0,mL,"Hartford Court Russian River Valley Pinot Noir Red Wine Half Bottle, 375ml",21 HC PN RUSSIAN RIVER 12/H 375ml,Red Wine,EACH,1,14.5,,USA,"Wine, champagne & sparkling wine",Pinot Noir,Russian River Valley,,2021.0
00857187002026,Jackson Family Wines,Penner-Ash Wine Cellars,750.0,mL,"Penner-Ash Wine Cellars Willamette Valley Pinot Noir Red Wine, 750ml",21 PAW PN WILLAMETTE 6/7 750ml,Red Wine,EACH,1,14.1,,USA,"Wine, champagne & sparkling wine",Pinot Noir,Willamette Valley,,2021.0
00081584003120,Jackson Family Wines,Kendall-Jackson,750.0,mL,"Kendall-Jackson Alexander Valley Cabernet Sauvignon Red Wine, 750ml",19 KJ JEV CAB SAUV HAWKEYE 6/7 750ml,Red Wine,EACH,1,14.5,,USA,"Wine, champagne & sparkling wine",Cabernet Sauvignon,Alexander Valley,,2019.0
00633072332740,Jackson Family Wines,Hartford,750.0,mL,"Hartford Court Fog Dance Vineyard Chardonnay White Wine, 750ml",21 HC CH GV FOG DANCE 6/7 750ml,White Wine,EACH,1,14.4,,USA,"Wine, champagne & sparkling wine",Chardonnay,Russian River Valley,,2021.0
00857187002583,Jackson Family Wines,Penner-Ash Wine Cellars,750.0,mL,"Penner-Ash Wine Cellars Willamette Valley Chardonnay White Wine, 750ml",21 PAW CH WILLAMETTE VLY 6/7 750ml,White Wine,EACH,1,14.6,,USA,"Wine, champagne & sparkling wine",Chardonnay,Willamette Valley,,2021.0
00877591002863,Jackson Family Wines,Siduri,750.0,mL,"Siduri Santa Lucia Highlands Pinot Noir Red Wine, 750ml",21 SDI PN SANTA LUCIA 12/7 750ml,Red Wine,EACH,1,14.5,,USA,"Wine, champagne & sparkling wine",Pinot Noir,Santa Lucia Highlands,,2021.0
00862442000013,Jackson Family Wines,Gran Moraine,750.0,mL,"Gran Moraine Yamhill-Carlton Pinot Noir Red Wine, 750ml",21 GM PN YAMHILL 6/7 750ml,Red Wine,EACH,1,13.8,,USA,"Wine, champagne & sparkling wine",Pinot Noir,Yamhill-Carlton,,2021.0
00633072815045,Jackson Family Wines,Hartford,750.0,mL,"Hartford Court Stone Côte Vineyard Chardonnay White Wine, 750ml",21 HC CH STONE COTE 6/7 750ml,White Wine,EACH,1,14.5,,USA,"Wine, champagne & sparkling wine",Chardonnay,Russian River Valley,,2021.0
00850202002261,Jackson Family Wines,Tenuta di Arceno,750.0,mL,"Tenuta di Arceno Arcanum Toscana IGT Red Blend Red Wine, 750ml",17 ARCANUM RED WINE 6/7 750ml,Red Wine,EACH,1,14.5,,USA,"Wine, champagne & sparkling wine",,Toscana IGT,Tuscany,2017.0
00858334007505,Jackson Family Wines,Ex Post Facto,750.0,mL,"Ex Post Facto Syrah Red Wine, 750ml",21 EPF SYRAH 6/7 750ml,Red Wine,EACH,1,14.5,,USA,"Wine, champagne & sparkling wine",Syrah,Santa Barbara County,,2021.0
00852679006124,Jackson Family Wines,Captûre,750.0,mL,"Captûre Pine Mountain Cabernet Sauvignon Red Wine, 750ml",19 CPT CAB SAUV PINE MTN 6/7 750ml,Red Wine,EACH,1,14.2,,USA,"Wine, champagne & sparkling wine",Cabernet Sauvignon,Pine Mountain-Cloverdale Peak,,2019.0
00011034503825,Bacardi USA,Martini & Rossi,750.0,mL,Martini & Rossi Sparkling Rose Wine - Sparkling Wine Bottle 11.5% 75Cl/750Ml,MARTINI SPW ROSE EXTR DRY,,EACH,1,11.5,,USA,"Wine, champagne & sparkling wine",,,,
00081308004877,"""The Wine Group""",Tailor Made®,750.0,mL,"Tailor Made Creamy Chardonnay White Wine - 750ml, 2018, California",Tailor Made Creamy Chardonnay White Wine - 750ml,,EACH,1,13.5,,USA,"Wine, champagne & sparkling wine",Chardonnay,,,2018.0
00081308011158,"""The Wine Group""",Tailor Made®,750.0,mL,"Tailor Made Bourbon Barrel Cabernet Sauvignon Red Wine - 750ml, 2018, California",Tailor Made Bourbon Barrel Cabernet Sauvignon Red Wine - 750ml,,EACH,1,14.0,,USA,"Wine, champagne & sparkling wine",Cabernet Sauvignon,,,2018.0
00081308011165,"""The Wine Group""",Tailor Made®,750.0,mL,"Tailor Made Red Blend Red Wine - 750ml, California",Tailor Made Red Blend Red Wine - 750ml,,EACH,1,13.5,,USA,"Wine, champagne & sparkling wine",,,,
00081308004846,"""The Wine Group""",Tailor Made®,750.0,mL,"Tailor Made Cabernet Sauvignon Red Wine - 750ml, 2018, California",Tailor Made Cabernet Sauvignon Red Wine - 750ml,,EACH,1,13.5,,USA,"Wine, champagne & sparkling wine",Cabernet Sauvignon,,,2018.0
00081308004853,"""The Wine Group""",Tailor Made®,750.0,mL,"Tailor Made Pinot Noir Red Wine - 750ml, 2018, California",Tailor Made Pinot Noir Red Wine - 750ml,,EACH,1,13.5,,USA,"Wine, champagne & sparkling wine",Pinot Noir,,,2018.0
00010986006026,Pernod Ricard,Kenwood Core,750.0,mL,"Kenwood Vineyards Lake/Sonoma County Sauvignon Blanc 750mL, 27 Proof",Enjoy Kenwood Vineyards Six Ridges Sauvignon Blanc and its refreshing style with aromas of passion fruit and white peach with subtle notes of lemongrass and fresh ginger root.,,EACH,1,13.5,,USA,"Wine, champagne & sparkling wine",,,,
00080432344071,Pernod Ricard,Jacobs Creek,750.0,mL,"Jacob's Creek Classic Shiraz Cabernet Red Wine 750mL, 13% ABV",Jacob's Creek Classic Shiraz Cabernet red wine blend has notes of dark cherry and plum with hints of mocha spice.,,EACH,1,13.0,,USA,"Wine, champagne & sparkling wine",,,,
00080432343074,Pernod Ricard,Jacobs Creek,750.0,mL,"Jacob's Creek Classic Merlot Red Wine 750mL, 12.5% ABV","A modern Australian Classic – showcasing merlot's varietal purity with a soft, enjoyable finish. It has great lift with concentration of varietal spice and savory red fruits. This red wine is medium bodied with dried cranberry and ripe strawberry juiciness that flows generously into plush tannins.",,EACH,1,12.5,,USA,"Wine, champagne & sparkling wine",,,,2017.0
00010986010078,Pernod Ricard,Kenwood Core,750.0,mL,"Kenwood Vineyards Six Ridges Chardonnay 750mL, 29 Proof","Enjoy Kenwood Vineyards Six Ridges Chardonnay, which pairs beautifully with dishes like pan seared halibut with herb butter, risotto with spring vegetables, or sauteed chicken with wild rice.",,EACH,1,14.5,,USA,"Wine, champagne & sparkling wine",,,,
00010986002813,Pernod Ricard,Kenwood Core,750.0,mL,"Kenwood Vineyards Monterey/Sonoma County Pinot Noir 750mL, 27 Proof","Enjoy Kenwood Vineyards Monterey/Sonoma County Pinot Noir, a rich bodied wine with red berry aromas, delicate well integrated tannins and a smooth finish.",,EACH,1,14.1,,USA,"Wine, champagne & sparkling wine",,,,
00010986011143,Pernod Ricard,Pj Grand Brut & All Other,750.0,mL,"Perrier-Jouet Grand Brut Champagne with Flutes, 750 mL Bottle, 12.5% ABV","Perrier Jouet Grand Brut epitomizes the heritage of Maison Perrier Jouet, perpetuating the House’s tradition of brut champagnes. It is a harmonious cuvée in which the luminous notes of Chardonnay are perfectly complemented by Champagne’s two red grape varieties: Pinot Noir and Meunier.",,EACH,1,12.5,,USA,"Wine, champagne & sparkling wine",,,,
00080432100851,Pernod Ricard,Jacobs Creek,1.5,L,"Jacob's Creek Classic Merlot Red Wine 1.5L, 14% ABV","A modern Australian Classic – showcasing merlot's varietal purity with a soft, enjoyable finish. It has great lift with concentration of varietal spice and savory red fruits. This red wine is medium bodied with dried cranberry and ripe strawberry juiciness that flows generously into plush tannins.",,EACH,1,14.0,,USA,"Wine, champagne & sparkling wine",,,,2016.0
00010986010863,Pernod Ricard,Sainte Marguerite,750.0,mL,"Symphonie Rosé Maison Sainte Marguerite 750mL, 13% ABV","Symphonie Rosé - Maison Sainte Marguerite ▪ a wine characterised by its harmony of aromas and flavours, blended from grapes from the House vineyard, as well as from selected partner winegrowers.",,EACH,1,13.0,,USA,"Wine, champagne & sparkling wine",,,,
00080432344026,Pernod Ricard,Jacobs Creek,1.5,L,"Jacob's Creek Classic Shiraz Cabernet Red Wine 1.5L, 13.5% ABV",Jacob's Creek Classic Shiraz Cabernet red wine blend has notes of dark cherry and plum with hints of mocha spice.,,EACH,1,13.5,,USA,"Wine, champagne & sparkling wine",,,,2014.0
